workflow_name,workflow_id,file_path,state,active_last_7_days,not_utilized_last_7_days_including_disabled,runs_7d,last_run_at_utc,success_7d,failure_7d,cancelled_7d,timed_out_7d,action_required_7d,queued_or_in_progress_7d,workflow_dependencies,granted_access_permissions,rate_limit_included,variable_mappings,tokenized_variable_refs,copilot_variable_refs,variable_ref_count,has_variable_mapping,branch_update_conflict_risk,branch_update_conflict_reasons,branch_update_conflict_mitigation_vars,trigger_types,workflow_dispatch_enabled,workflow_call_enabled,schedule_enabled,workflow_run_enabled,timeout_configured,concurrency_configured,runner_labels,artifact_upload_steps,recommended_portfolio_action,copilot_smoke_posture,portfolio_note
API Documentation,216390773,.github/workflows/api-documentation.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | pages: write | id-token: write,True,"{""vars"": [], ""secrets"": [], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": []}",,,0,False,low,no direct write patterns detected or low branch-drift interaction risk,,"push,workflow_dispatch",True,False,False,False,True,True,ubuntu-latest,0,keep-enabled-historical-use,unobserved-7d,Historic run volume remains meaningful (139 lifetime runs); keep enabled.
App Package Download,234039814,.github/workflows/app-package-download.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | actions: read,True,"{""vars"": [], ""secrets"": [], ""env_context"": [], ""shell_env"": [""APP_NAME"", ""BRANCH"", ""CUSTOM_BRANCH"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""PACKAGE_NAME"", ""SELECTED_BRANCH"", ""SIZE"", ""TIMESTAMP"", ""TOTAL_APPS""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}",,,10,True,low,no direct write patterns detected or low branch-drift interaction risk,,workflow_dispatch,True,False,False,False,True,True,ubuntu-latest,2,archive-review-candidate,unobserved-7d,Low recent activity and low conflict risk; review lifetime usage before disable.
Archival Compliance,204689818,.github/workflows/archival_compliance.yml,disabled_manually,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",n/a (not in top-level workflow dir snapshot),False,n/a (workflow file unavailable in local snapshot),,,0,False,unknown,workflow file unavailable locally for conflict analysis,,,False,False,False,False,False,False,,0,already-disabled,disabled,Already non-active in GitHub Actions.
Artifact Monitoring,226074583,.github/workflows/artifact-monitoring.yml,active,True,False,6,2026-05-15T15:47:31Z,6,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | issues: write | actions: read,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [""RATE_LIMIT_OK""], ""shell_env"": [""DRY_RUN"", ""DRY_RUN_FLAG"", ""GITHUB_ENV"", ""GITHUB_STEP_SUMMARY"", ""REMAINING"", ""WORKFLOW_FILTER"", ""WORKFLOW_FLAG""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TENV_RATE_LIMIT_OK",,10,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,1,keep-enabled-active,observed-green,Observed runs in the last 7 days.
AST Analysis,218147719,.github/workflows/ast-analysis.yml,disabled_manually,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",n/a (not in top-level workflow dir snapshot),False,n/a (workflow file unavailable in local snapshot),,,0,False,unknown,workflow file unavailable locally for conflict analysis,,,False,False,False,False,False,False,,0,already-disabled,disabled,Already non-active in GitHub Actions.
Audit & QA Suite (Unified),231465969,.github/workflows/audit-qa-suite.yml,active,True,False,6,2026-05-15T16:03:08Z,4,0,2,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | pull-requests: write | issues: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""AUDIT_TYPE"", ""CRITICAL"", ""FOCUS_AREAS"", ""FOUND"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY"", ""PR_NUMBER"", ""PYTHONPATH"", ""REVIEW_DEPTH"", ""WALKTHROUGH_RAN""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,13,True,medium,write-capable and event-triggered; potential merge or stale-head conflict during main updates,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","pull_request,workflow_dispatch,workflow_call,schedule,issue_comment,issues",True,True,True,False,True,True,ubuntu-latest,2,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Authentication Tests,223917608,.github/workflows/auth-tests.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",read-all,True,"{""vars"": [], ""secrets"": [""CODECOV_TOKEN"", ""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODECOV_TOKEN,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",,4,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,workflow_dispatch,issues",True,False,False,False,True,True,ubuntu-latest,1,archive-review-candidate,unobserved-7d,Low recent activity and low conflict risk; review lifetime usage before disable.
⚡ Auto-Approve Pending Workflow Runs,255964821,.github/workflows/auto-approve-workflows.yml,active,True,False,48,2026-05-15T18:21:38Z,44,0,0,0,4,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | actions: write        # approve workflow runs | pull-requests: write  # read/edit PR body; add/remove labels | contents: read,True,"{""vars"": [""CODEX_AUTO_APPROVE_HIGH_VOLUME_THRESHOLD"", ""CODEX_AUTO_APPROVE_MAX_PASSES"", ""CODEX_AUTO_APPROVE_MONITOR_INTERVAL_SEC"", ""CODEX_AUTO_APPROVE_MONITOR_MINUTES"", ""CODEX_AUTO_APPROVE_PASS_DELAY_MS""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [""ACTIVE_AGENT_HINT"", ""DRY_RUN"", ""HEAD_SHA"", ""HIGH_VOLUME_MAX_PASSES"", ""HIGH_VOLUME_THRESHOLD"", ""MODE"", ""PASS_DELAY_MS"", ""PR_LIST"", ""PR_NUMBER"", ""REPO""], ""shell_env"": [""ALL_PRS"", ""GITHUB_OUTPUT"", ""GITHUB_STEP_SUMMARY""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_AUTO_APPROVE_HIGH_VOLUME_THRESHOLD"", ""CODEX_AUTO_APPROVE_MAX_PASSES"", ""CODEX_AUTO_APPROVE_MONITOR_INTERVAL_SEC"", ""CODEX_AUTO_APPROVE_MONITOR_MINUTES"", ""CODEX_AUTO_APPROVE_PASS_DELAY_MS""]}","TVAR_CODEX_AUTO_APPROVE_HIGH_VOLUME_THRESHOLD,TVAR_CODEX_AUTO_APPROVE_MAX_PASSES,TVAR_CODEX_AUTO_APPROVE_MONITOR_INTERVAL_SEC,TVAR_CODEX_AUTO_APPROVE_MONITOR_MINUTES,TVAR_CODEX_AUTO_APPROVE_PASS_DELAY_MS,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TENV_ACTIVE_AGENT_HINT,TENV_DRY_RUN,TENV_HEAD_SHA,TENV_HIGH_VOLUME_MAX_PASSES,TENV_HIGH_VOLUME_THRESHOLD,TENV_MODE,TENV_PASS_DELAY_MS,TENV_PR_LIST,TENV_PR_NUMBER,TENV_REPO","CODEX_AUTO_APPROVE_HIGH_VOLUME_THRESHOLD,CODEX_AUTO_APPROVE_MAX_PASSES,CODEX_AUTO_APPROVE_MONITOR_INTERVAL_SEC,CODEX_AUTO_APPROVE_MONITOR_MINUTES,CODEX_AUTO_APPROVE_PASS_DELAY_MS",20,True,low,no direct write patterns detected or low branch-drift interaction risk,,"pull_request,workflow_dispatch,schedule,workflow_run",True,False,True,True,True,True,ubuntu-latest,0,keep-enabled-active,approval-gated-or-mixed,Observed runs in the last 7 days.
Auto-Fix Common CI Issues,229459415,.github/workflows/auto-fix-common-issues.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | pull-requests: write,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",CODEX_CACHE_VERSION,4,True,high,write-capable + event-driven workflow; may race with branch/main drift during active sessions,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","pull_request,workflow_dispatch,issues",True,False,False,False,True,True,ubuntu-latest,0,review-manually-high-impact,unobserved-7d,Idle but branch-sensitive or write-capable; verify downstream automation before disable.
PR Auto-Fix Check,232272351,.github/workflows/auto-fix-pr-check.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read | pull-requests: write | checks: write,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [""AUTO_FIXABLE"", ""GITHUB_OUTPUT"", ""MANUAL_REVIEW"", ""TOTAL_ISSUES""], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",CODEX_CACHE_VERSION,8,True,high,write-capable + event-driven workflow; may race with branch/main drift during active sessions,"CODEX_SWEEP_SKIP_MAIN,CODEX_MAX_HEALER_RUNS_PER_HOUR,CODEX_HEALER_SKIP_SKIPCI","pull_request,issues",False,False,False,False,True,True,ubuntu-latest,1,review-manually-high-impact,unobserved-7d,Idle but branch-sensitive or write-capable; verify downstream automation before disable.
Autonomous Codebase Management,217797477,.github/workflows/autonomous-agent.yml,active,True,False,4,2026-05-15T18:33:56Z,4,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: write | pull-requests: write | issues: write,True,"{""vars"": [], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY""], ""env_context"": [], ""shell_env"": [""GITHUB_OUTPUT"", ""MODE""], ""repo_var_matches"": [], ""copilot_focus_vars"": []}","TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY",,4,True,low,no direct write patterns detected or low branch-drift interaction risk,,"workflow_dispatch,schedule,issues",True,False,True,False,True,True,ubuntu-latest,0,keep-enabled-active,observed-green,Observed runs in the last 7 days.
Autonomy Phase CI Matrix,242908432,.github/workflows/autonomy-phase-ci-matrix.yml,active,False,True,0,,0,0,0,0,0,0,"{""reusable_calls"": [], ""workflow_run_upstreams"": []}",permissions: | contents: read,True,"{""vars"": [""CODEX_CACHE_VERSION""], ""secrets"": [""CODEX_BACKUP_KEY"", ""CODEX_MASTER_KEY"", ""GITHUB_TOKEN""], ""env_context"": [], ""shell_env"": [], ""repo_var_matches"": [], ""copilot_focus_vars"": [""CODEX_CACHE_VERSION""]}","TVAR_CODEX_CACHE_VERSION,TSEC_CODEX_BACKUP_KEY,TSEC_CODEX_MASTER_KEY,TSEC_GITHUB_TOKEN",CODEX_CACHE_VERSION,4,True,low,no direct write patterns detected or low branch-drift interaction risk,,"push,pull_request,workflow_dispatch,issues",True,False,False,False,True,True,ubuntu-latest,0,archive-review-candidate,unobserved-7d,Low recent activity and low conflict risk; review lifetime usage before disable.
